FECHA;Valv reguladora vacio SW;Agitador;Par agitador;Bba Extraccion SW;Q Alim SW kg/h;Q sda Cristalizador m3/h;Nivel Membrana SW %;P abs SW mb;Q alim CV (sda SW);SP Presión absoluta mb;SP Tª masa SW;Tª masa;Tª SW
15/12/2022 0:00;;1.0;122.769;0.0;5509.63;0.0;723.513;712.319;259.093;696.288;46.0;46.0;67
15/12/2022 0:01;;1.0;122.767;0.0;5510.85;0.0;724.411;712.175;259.116;696.288;46.0;46.0;68
15/12/2022 0:02;;1.0;122.765;0.0;5504.35;0.0;725.309;71.203;259.139;696.288;46.0;46.0;69
15/12/2022 0:03;;1.0;122.763;0.0;5503.65;0.0;726.208;711.886;259.162;696.288;46.0;46.0;83
15/12/2022 0:04;;1.0;122.761;0.0;5502.43;0.0;727.106;711.742;259.185;696.288;46.0;46.0;99
15/12/2022 0:05;;1.0;122.759;0.0;5499.22;0.0;728.004;711.597;259.208;696.288;46.0;46.0;45
15/12/2022 0:06;;1.0;122.758;0.0;5494.99;0.0;729.031;711.453;259.231;696.288;46.0;46.0;46
15/12/2022 0:07;;1.0;122.756;0.0;5494.21;0.0;730.262;711.308;259.254;696.288;46.0;46.0;46
15/12/2022 0:08;;1.0;122.754;0.0;5498.75;0.0;731.493;711.164;259.277;696.288;46.0;46.0;45
15/12/2022 0:09;;1.0;122.752;0.0;5498.8;0.0;732.725;71.102;2.593;696.288;46.0;46.0;47
15/12/2022 0:10;;1.0;12.275;0.0;5485.7;0.0;733.956;710.875;259.323;696.288;46.0;46.0;48
15/12/2022 0:11;;1.0;122.748;0.0;5483.31;0.0;735.188;710.731;259.346;696.288;46.0;46.0;49
15/12/2022 0:12;;1.0;122.746;0.0;5479.33;0.0;736.419;710.587;259.369;696.288;46.0;46.0;48
15/12/2022 0:13;;1.0;122.744;0.0;5457.63;0.0;737.628;710.442;259.392;696.288;46.0;46.0;49
15/12/2022 0:14;;1.0;122.742;0.0;5444.06;0.0;738.833;710.298;259.415;696.288;46.0;46.0;49
15/12/2022 0:15;;1.0;12.274;0.0;5426.27;0.0;740.039;710.153;259.438;696.288;46.0;46.0;67
15/12/2022 0:16;;1.0;122.738;0.0;5395.73;0.0;741.245;710.009;25.946;696.288;46.0;46.0;68
15/12/2022 0:17;;1.0;122.736;0.0;5374.55;0.0;74.245;709.865;259.483;696.288;46.0;46.0;69
15/12/2022 0:18;;1.0;122.734;0.0;5368.61;0.0;743.656;70.972;259.506;696.288;46.0;46.0;83
15/12/2022 0:19;;1.0;122.732;0.0;5332.55;0.0;744.862;709.576;259.529;696.288;46.0;46.0;99
15/12/2022 0:20;;1.0;12.273;0.0;5330.02;0.0;746.067;709.431;259.552;696.288;46.0;46.0;45
15/12/2022 0:21;;1.0;122.728;0.0;5288.06;0.0;746.881;709.287;259.575;696.288;46.0;46.0;46
15/12/2022 0:22;;1.0;122.727;0.0;5263.03;0.0;747.642;709.143;259.598;696.288;46.0;46.0;46
15/12/2022 0:23;;1.0;122.725;0.0;5216.84;0.0;748.402;708.998;259.621;696.288;46.0;46.0;45
15/12/2022 0:24;;1.0;122.723;0.0;5183.95;0.0;749.163;708.854;259.644;696.288;46.0;46.0;47
15/12/2022 0:25;;1.0;122.721;0.0;5153.63;0.0;749.923;70.871;259.667;696.288;46.0;46.0;48
15/12/2022 0:26;;1.0;122.719;0.0;5107.16;0.0;750.684;708.565;25.969;696.288;46.0;46.0;49
15/12/2022 0:27;;1.0;122.717;0.0;5056.27;0.0;751.445;708.421;259.713;696.288;46.0;46.0;48
15/12/2022 0:28;;1.0;122.715;0.0;5021.56;0.0;752.205;708.276;259.736;696.288;46.0;46.0;49
15/12/2022 0:29;;1.0;122.713;0.0;4974.64;0.0;752.966;708.132;259.759;696.288;46.0;46.0;49
